artist_id,artist_name,total_results,has_knowledge_panel,wikipedia_in_top5,art_platform_in_top5,instagram_in_top5,error
3841,Ruslan Khais,0,False,False,True,False,
57043,Julian Adrat,6320,False,False,False,False,
10109,Larissa Abtova,17400,False,False,True,True,
36501,Pablo Picasso,139,True,True,False,False,
36504,Salvador Dalí,23400000,True,True,False,False,
3143,Pol Ledent,1170000,False,False,True,True,
63,Olivier Messas,457000,False,False,True,True,
8221,Thomas Dellert,51600,True,False,True,True,
2759,Jean Mirre,97900,False,False,True,False,
6303,Françoise Leblond,4750,True,False,True,False,
34239,Art Taghera,690,False,False,True,True,
2493,Peter Nottrott,0,False,False,True,True,
2099,Ta Byrne,21400,True,False,True,True,
36491,Marc Chagall,5300000,True,True,True,False,
168,François Pagé,42800,False,False,True,True,
18369,Axelle Bosler,21200,False,False,True,True,
47380,Andrew Scott,402000,False,False,True,True,
1579,Alessandro Siviglia,37200,False,False,True,True,
2627,Carlos Martin,74500,False,False,True,True,
3567,Eka Peradze,35600,False,False,True,True,
8217,Iryna Kastsova,107000,False,False,True,True,
22087,Dolgor Dugarova,3320,False,False,True,False,
14061,Luc Villard,15000,False,False,True,True,
7037,Maria Moretti,321000,False,False,True,True,
36722,Shepard Fairey,3560000,True,True,False,True,
707,Joan Llaverias,27200,True,False,True,False,
86,Vincent Bardou,40900,False,False,True,True,
36512,Andy Warhol,136,False,True,False,True,
259,Niki Hare,28500,False,False,True,True,
3149,Eric Bruni,20500,False,False,True,True,
5113,Michael Andrew Law Cheuk Yui,5140,True,True,True,True,
4477,Rie Kono,5310,False,False,True,True,
13923,Philippe Abril,27600,False,False,True,True,
3605,Robert Süess,215000,False,False,True,False,
6865,Holger Mühlbauer-Gardemin,43700,True,False,True,True,
1973,Kristin Kossi,10500,False,False,True,True,
1919,Koen Lybaert,107000,True,False,True,True,
11651,Angie Wright,,,,,,"HTTPSConnectionPool(host='serpapi.com', port=443): Read timed out. (read timeout=15)"
10927,Tony Belobrajdic,92200,False,False,False,True,
6223,Silvia Vassileva,1500000,False,False,False,True,
57146,Ryohei Kubo,3210,False,False,True,True,
449,Kirstin Mccoy,5930,False,False,True,True,
33073,Martin Wieland,836000,False,False,True,False,
6373,Dmitry Spiros,53200,False,False,True,True,
476,Grégory Herpe,26200,True,False,True,True,
272,Nestor Toro,1110000,False,False,True,True,
15847,Elisa Boughner,803000,False,False,True,False,
9315,Marie Manon Corbeil,6760,False,False,True,True,
12975,Reneta Isin,14000,False,False,True,True,
1717,Oleksii Gnievyshev,25100,False,False,True,True,
36514,Banksy,5610000,True,True,False,True,
522,Francesco D'Adamo,93900,False,False,True,False,
1272,Laurent Dorchin,9100,True,False,True,True,
36528,Takashi Murakami,5770000,True,True,False,True,
6531,Ira Volkova,279000,True,False,True,True,
30999,TaLisa.,330000,False,False,True,True,
7045,Diana Malivani,39600,False,False,True,True,
4545,Wojtek Babski,9120,False,False,True,True,
14115,Muriel Cayet,40200,False,False,True,False,
36489,Henri Matisse,14100000,True,True,False,False,
1202,Shelton Walsmith,68900,True,False,True,False,
3385,Friedrich Wurm,12700,False,False,True,False,
7653,Aelita Andre,18400,True,False,True,True,
8903,Carlos Pun,33400,False,False,True,True,
1298,Fintan Whelan,1170000,False,False,True,True,
5947,Elena Dmitrenko,10300,False,False,True,True,
9023,Garry Arzumanyan,9570,False,False,True,False,
611,Johann Nußbächer,1750,False,False,False,False,
7733,Barbara Kroll,133000,False,False,True,True,
36500,Joan Miró,13000000,True,True,True,False,
5715,Mercedes Lagunas,22800,False,False,False,True,
14117,Jean-Paul Schmitt,23200,False,False,True,False,
4465,Tran Tuan,113000,False,False,True,True,
2657,Miriam Montenegro,195000,False,False,True,True,
33163,PatMoli,17700,False,False,True,True,
2259,Karin Vermeer,315000,False,False,True,True,
12529,Arturo Prins,43800,True,False,True,True,
3503,Mj Tom Losotros,201,False,False,False,True,
8699,Roberto Gutiérrez Currás,10400,False,False,True,False,
7963,Inez Froehlich,17400,False,False,True,True,
4475,Ashvin Harrison,0,False,False,False,True,
36515,Mr. Brainwash,414000,True,True,True,True,
7079,Yossi Kotler,248000,False,False,True,True,
10585,Vita Schagen,196000,False,False,True,False,
6463,Irina Laube,96000,False,False,True,False,
36518,Keith Haring,10500000,True,True,False,True,
69025,Doreen Gehrke,3660,False,False,True,True,
5531,Robert Tillberg,12000,False,False,True,True,
4807,Tatiana Yabloed,9030,False,False,True,False,
1005,Sylwia Synak,2680,False,False,True,True,
5801,Tomoya Nakano,287000,False,False,True,True,
12155,Natalia Nosek (NATXA),8400,False,False,True,True,
2575,Alexander Shandor,56600,False,False,True,True,
15167,RogerM,60900000,True,True,False,False,
1514,Bernard Simunovic,15600,False,False,True,True,
36492,David Hockney,20400000,True,True,True,False,
17261,Olha Darchuk,537000,False,False,True,False,
1303,Olga Novokhatska,10500,False,False,True,False,
4115,Frank Jähne,1870,False,False,True,False,
3207,Isabel Mahe,14100,False,False,True,True,
3043,Donatella Marraoni,220000,False,False,True,True,
13991,Harry Holland,28200,True,True,True,True,
10221,Gardani,260000,False,False,False,True,
22865,Shlomit Aharonovitch,4930,False,False,True,True,
898,Tarek Ben Yakhlef,58200,True,False,True,True,
4651,Viktor Sheleg,3130000,False,False,True,True,
59,Hugo Pondz,68100,False,False,True,True,
4049,Oleg Riabchuk,12000,False,False,True,True,
10995,Nicolae Prisac,1580,False,False,False,True,
17159,Jacques Unbekandt,665,False,False,False,True,
11905,Hassan Massoudy,58200,True,True,True,False,
13231,Aleks Rosenberg,30100,True,False,True,True,
3141,Peter Vahlefeld,37200,False,False,True,True,
20307,Amena Bandukwala,1550,True,False,True,True,
17969,Vava Venezia Dellert,10800,False,False,True,True,
1719,Thomas Peter Kausel,13900,False,False,True,True,
2933,Anastasiya Valiulina,12200,False,False,True,False,
2429,Astrid Stoeppel,356000,False,False,True,True,
3167,Sniege,28900,False,False,True,True,
14821,Emily Starck,191000,False,False,True,True,
24539,Andrés Rueda,42400,False,False,True,True,
9989,Pechane Sumie,220000,False,False,True,False,
8963,Elena Lukina,50200,False,False,True,True,
2401,Monika Luniak,83800,False,False,True,False,
20865,Daria Kolosova,207000,True,False,True,True,
2777,Preston M. Smith (Pms),41600,False,False,True,False,
7135,Artize,164000,False,False,True,True,
15999,Marta Zawadzka,70700,False,False,True,True,
